"day","total_steps"
2019-06-04,5558
2019-06-05,7602
2019-06-06,9600
2019-06-07,5724
2019-06-08,1358
2019-06-09,4396
2019-06-10,4523
2019-06-11,3335
2019-06-12,5337
2019-06-13,9159
2019-06-14,8025
2019-06-15,2900
2019-06-16,2163
2019-06-17,3869
2019-06-18,2180
2019-06-19,6611
2019-06-20,5192
2019-06-21,4642
2019-06-22,1525
2019-06-23,4756
2019-06-24,3575
2019-06-25,3045
2019-06-26,4521
2019-06-27,4657
2019-06-28,2569
2019-06-29,1545
2019-06-30,5003
2019-07-01,3646
2019-07-02,6478
2019-07-03,8236
2019-07-04,1874
2019-07-05,23426
2019-07-06,11524
2019-07-07,4433
2019-07-08,6761
2019-07-09,5752
2019-07-10,6545
2019-07-11,9518
2019-07-12,8527
2019-07-13,1205
2019-07-14,1241
2019-07-15,7739
2019-07-16,7997
2019-07-17,6918
2019-07-18,4711
2019-07-19,4877
2019-07-20,11396
2019-07-21,4741
2019-07-22,8090
2019-07-23,5975
2019-07-24,8002
2019-07-25,9077
2019-07-26,5943
2019-07-27,2693
2019-07-28,3034
2019-07-29,774
2019-07-30,4472
2019-07-31,8290
2019-08-01,5168
2019-08-02,5695
2019-08-03,4291
2019-08-04,4321
2019-08-05,4823
2019-08-06,5909
2019-08-07,5399
2019-08-08,4873
2019-08-09,7363
2019-08-10,3003
2019-08-11,7643
2019-08-12,9245
2019-08-13,24704
2019-08-14,27270
2019-08-15,21071
2019-08-16,22418
2019-08-17,22526
2019-08-18,16891
2019-08-19,27968
2019-08-20,19696
2019-08-21,19042
2019-08-22,24157
2019-08-23,19492
2019-08-24,10287
2019-08-25,9806
2019-08-26,3143
2019-08-27,12266
2019-08-28,7661
2019-08-29,9428
2019-08-30,4987
2019-08-31,10612
2019-09-01,2949
2019-09-02,4847
2019-09-03,10199
2019-09-04,9498
2019-09-05,9295
2019-09-06,8739
2019-09-07,2950
2019-09-08,1809
2019-09-09,7983
2019-09-10,9093
2019-09-11,8599
2019-09-12,5433
2019-09-13,5643
2019-09-14,5292
2019-09-15,2827
2019-09-16,4119
2019-09-17,10062
2019-09-18,4651
2019-09-19,9545
2019-09-20,4263
2019-09-21,7098
2019-09-22,3103
2019-09-23,3947
2019-09-24,4991
2019-09-25,8792
2019-09-26,3796
2019-09-27,8522
2019-09-28,25
2019-09-29,6865
2019-09-30,13608
2019-10-01,7856
2019-10-02,7926
2019-10-03,9250
2019-10-04,6322
2019-10-05,1655
2019-10-06,4343
2019-10-07,3146
2019-10-08,3613
2019-10-09,7656
2019-10-10,6989
